Key	Value_X	Value_Y
HCP_A3	1150.0	1.0
HCP_A3	1140.0	1.0000000000000002
HCP_A3	1130.0	1.0000000000000002
HCP_A3	1120.0	1.0
HCP_A3	1110.0	1.0
HCP_A3	1100.0	1.0
HCP_A3	1090.0	1.0
HCP_A3	1080.0	1.0
HCP_A3	1070.0	1.0
HCP_A3	1060.0	1.0
HCP_A3	1050.0	1.0
HCP_A3	1040.0	1.0
HCP_A3	1030.0	1.0
HCP_A3	1020.0	1.0
HCP_A3	1010.0	1.0000000000000002
HCP_A3	1000.0	1.0
HCP_A3	990.0	1.0
HCP_A3	980.0	1.0
HCP_A3	970.0	1.0000000000000002
HCP_A3	960.0	1.0
HCP_A3	950.0	1.0
HCP_A3	940.0	1.0
HCP_A3	930.0	1.0
HCP_A3	920.0	1.0
HCP_A3	910.0	1.0
HCP_A3	900.0	1.0
HCP_A3	890.0	1.0
HCP_A3	880.0	1.0
HCP_A3	870.0	1.0
HCP_A3	860.0	1.0
HCP_A3	850.0	1.0
HCP_A3	840.0	1.0000000000000002
HCP_A3	830.0	1.0
HCP_A3	820.0	1.0
HCP_A3	810.0	1.0
HCP_A3	800.0	1.0
HCP_A3	790.0	1.0
HCP_A3	780.0	1.0
HCP_A3	770.0	1.0000000000000002
HCP_A3	760.0	1.0
HCP_A3	750.0	1.0
HCP_A3	740.0	1.0
HCP_A3	730.0	1.0
HCP_A3	720.0	1.0
HCP_A3	710.0	1.0000000000000002
HCP_A3	700.0	1.0
HCP_A3	690.0	1.0
HCP_A3	680.0	1.0
HCP_A3	670.0	1.0
HCP_A3	660.0	1.0
HCP_A3	650.0	1.0
HCP_A3	640.0	1.0
HCP_A3	630.0	1.0
HCP_A3	620.0	1.0
HCP_A3	610.0	1.0
HCP_A3	600.0	1.0
HCP_A3	590.0	1.0
HCP_A3	580.0	1.0
HCP_A3	570.0	1.0
HCP_A3	560.0	1.0
HCP_A3	550.0	1.0
HCP_A3	540.0	1.0
HCP_A3	530.0	1.0
HCP_A3	520.0	1.0
HCP_A3	510.0	1.0
HCP_A3	500.0	1.0
HCP_A3	490.0	1.0000000000000002
HCP_A3	480.0	1.0
HCP_A3	470.0	1.0000000000000002
HCP_A3	460.0	1.0
HCP_A3	450.0	1.0
HCP_A3	440.0	1.0000000000000002
HCP_A3	430.0	1.0
HCP_A3	420.0	1.0
HCP_A3	410.0	1.0
HCP_A3	400.0	1.0000000000000002
HCP_A3	390.0	1.0
HCP_A3	380.0	1.0
HCP_A3	370.0	1.0
HCP_A3	360.0	1.0
HCP_A3	350.0	1.0
HCP_A3	340.0	1.0
HCP_A3	330.0	1.0
HCP_A3	320.0	1.0
HCP_A3	310.0	1.0
HCP_A3	300.0	1.0000000000000002
HCP_A3	290.0	1.0
HCP_A3	280.0	1.0
HCP_A3	270.0	1.0
HCP_A3	260.0	1.0
HCP_A3	250.0	1.0
HCP_A3	240.0	1.0
HCP_A3	230.0	1.0
HCP_A3	220.0	1.0
HCP_A3	210.0	1.0
HCP_A3	200.0	1.0
HCP_A3	190.0	1.0000000000000002
HCP_A3	180.0	1.0
HCP_A3	170.0	1.0
HCP_A3	160.0	1.0
HCP_A3	150.0	1.0
HCP_A3	140.0	1.0
HCP_A3	130.0	1.0
HCP_A3	120.0	1.0
HCP_A3	110.0	1.0
HCP_A3	100.0	1.0
